window,MAE,MSE,R2,MMRE
1,1.5390625,5.0625,0.09646074575975772,0.6693309294871794
2,1.5078125,5.7109375,-0.04719589036496519,0.47547576121794866
3,1.4453125,5.328124999999998,0.02681943217384275,0.6596729767628204
4,1.37109375,4.738281249999999,-0.011478677802243542,0.5806966145833333
5,0.96875,1.8281250000000002,0.11925958053678931,0.47958984375
6,1.41015625,4.761718750000002,-0.14095593961486008,0.43172433035714286
7,1.44140625,4.73828125,0.01521912173711737,0.5255433693910256
8,1.44140625,4.58984375,0.0003722018397405158,0.4909905849358975
9,1.42578125,4.84765625,-0.01651335050474345,0.5568534655448718
10,1.30078125,3.6132812500000004,-0.0013531799729364913,0.4555438701923077
11,1.6328125,5.828124999999999,0.06466613935287335,0.6832507011217948
