Project,DriftIndex,MeanErrorBefore,MeanErrorAfterNoRetrain
3,447,1.1054,1.2366
3,1023,0.8312,0.8708
4,2239,0.3805,0.5712
4,2943,0.7230,0.5045
11,447,2.0301,1.2586
11,575,2.4665,1.1296
11,863,3.0969,0.7235
12,319,0.6351,0.6557
13,1695,0.1737,0.4073
13,2751,0.6808,0.6541
24,255,1.8858,1.9909
24,351,0.5668,0.6630
25,319,1.2180,0.8786
28,1055,2.8904,2.0977
28,2495,8.2956,0.6501
28,4287,6.5031,6.0667
28,4575,1.0107,1.4025
28,5631,4.4074,2.4954
28,8863,11.0507,3.1763
28,10271,0.8477,2.0342
28,11583,3.9092,1.9000
28,14495,6.5136,2.6358
28,14943,1825.2957,1.1631
28,15999,3.0527,1.8054
28,16319,4.3245,1.1677
34,575,0.3939,1.1033
36,223,0.4843,0.6560
43,3039,0.4567,0.4903
