Project,DriftIndex,MeanErrorBefore,MeanErrorAfterRetrain
3,447,1.1054,0.7081
3,1055,0.4562,0.7815
4,2239,0.3805,0.6522
4,2911,1.1082,0.6982
11,447,2.0301,0.7604
11,863,1.9190,0.4191
12,319,0.6351,0.9655
12,3327,1.3152,0.7468
13,1695,0.1737,0.3661
13,2751,0.6250,0.4951
24,255,1.8858,0.5848
25,319,1.2180,0.5928
28,1055,2.8904,1.6455
28,2047,2.6606,2.2372
28,2495,6.4459,0.5613
28,4223,1.4442,1.9343
28,4607,0.9054,0.6727
28,5631,3.8270,1.6743
28,8863,6.8710,2.4408
28,10271,0.7883,2.2709
28,14495,5.7933,1.5211
28,14943,874.1043,1.0587
28,15999,3.6689,1.3150
28,16319,2.8670,0.7542
34,575,0.3939,1.2324
36,223,0.4843,0.8083
43,3039,0.4567,0.5332
