percent,MAE,MSE,R2,MMRE
10,3.4557522123893807,15.13716814159292,-2.0171197995730785,2.593162663295407
15,3.438053097345133,14.65929203539823,-1.9218701829832239,2.565455120101138
20,3.6769911504424777,16.420353982300885,-2.272882658934725,2.738063632532659
25,3.398230088495575,14.15929203539823,-1.8222108619216169,2.5324273072060683
30,3.243362831858407,13.154867256637168,-1.6220102789040522,2.4041930046354825
35,3.2123893805309733,12.91150442477876,-1.5735035297147744,2.3766013485040034
40,3.185840707964602,12.769911504424778,-1.545281421095558,2.3738411293721025
45,3.230088495575221,12.973451327433628,-1.5858507022356814,2.4055204382638014
50,3.2831858407079646,13.469026548672566,-1.6846280824029383,2.4527812895069534
55,3.3628318584070795,13.867256637168142,-1.7640027628944837,2.475821744627054
60,3.5088495575221237,14.853982300884956,-1.960675582334646,2.577149178255373
65,3.101769911504425,12.013274336283185,-1.394469528161622,2.2927201854193004
70,2.8628318584070795,10.738938053097344,-1.1404705505886765,2.1219869363674673
75,2.7035398230088497,9.526548672566372,-0.8988187455366379,1.9924884112937211
80,2.561946902654867,8.995575221238939,-0.7929858382145771,1.8978929624947325
